QUESTION,TYPE,DIFFICULT,MARK
Скласти параметричні рівняння спільного перпендикуляра до прямих x=3t-7; y=4-2t; z=3t+4 та x=t+1; y=2t-8; z=-2t-12.,2,2,20
Задано вершини піраміди A (0; 0; 2) B (3; 0; 5) C (1; 1; 0) D (4; 1; 2). Обчислити довжину висоти яку проведено з вершини D на грань АВС,2,1,10
Визначити чи належить площина 4x-18y+17z-8=0 до жмутка площин 5x-y+4z-1=0 та 2x+2y-3z+2=0,2,2,20
Дослідити взаємне розташування прямих x=9t+1 y=2+6t z=3+3t та x=7+6t y=4t+6 z=5+2t,2,3,30
Записати рівняння площини яка відсікає на вісях координат відрізки довжини яких пропрційні числам 1 2 3 та віддалена від точки С (3; 5; 7) на відстань 4,2,3,30
Знайти точку Е яка симетрична до точки С (2; -5; 7) відносно прямої яка проходить через точки М1 (5; 4; 6) та М2 (-2; -17; -8),2,2,20
Довести що для невиродженості оператора А необхідньо та достатньо аби в нього не було нульових власних значень,2,3,30
Збудувати многочлен мінімальної степені з дійсними коефіцієнтами який має прості корені 2 3 та 1+і а також корінь 1 кратності 2,2,1,10
Обчислити відстань від точки Р (2; 3; -1) до прямої x=t+1 y=t+2 z=13+4t,2,1,10
Визначити ядро та образ оператора А який є оператором диференцювання та діє в просторі Рn,2,3,30
Довести що власні вектори лінійного перетворення які відповідають різним власним значенням лінійнонезалежні,2,2,20
Довести що модуль визначника матриці ортогонального перетворення евклідова простора дорівнює одиниці.,2,2,20
Скласти рівняння площини яка проходить через пряму x=2t+1 y=2-3t z=2t-3 та точку М (2; -2; 1),2,1,10
Довести що симетричні матриці утворюють лінійний підпростір в просторі всіх матриць n-го порядку та вказати його розмірність й базис,2,3,30
Навести приклад білінійного симетричного функціоналу який визначено на просторі Rn,2,1,10
Довести що для кососиметричного перетворення унітарного простору власні вектори які відповідають різним власним значенням ортогональні,2,2,20
Знайти ортогональне доповнення до лінійного підпростору який формують многочлени степені не вище n у яких коефіцієнти при парних степенях нульові. Вказати його базис та розмірність,2,3,30
Знайти зв’язок між жордановими формами та фордановими базисами спряжених операторів,2,2,20
Дослідити чи буде лінійним підпростором множина n-вимірних векторів у яких координати з парними індексами рівні. Якщо так - вказати його розмірність та базис,2,3,30
